Designator,Footprint,Value,Tolerance,MFG Part #,Can replace with other similar parts?
Y1,Y_2520-4Pin_2.5x2.0mm,16MHz,,7E16000E09UCG,Maybe
C8,C_0402_1005Metric,10uF,10%,GRM155R61A106ME44D,Yes
"C1,C2",C_0402_1005Metric,22pF,10%,0402CG220J500NT,Yes
"C4,C5,C6,C7",C_0402_1005Metric,0.1uF,10%,CL05B104KO5NNNC,Yes
C3,C_0402_1005Metric,1uF,10%,CL05A105KA5NQNC,Yes
"R1,R4",R_0402_1005Metric,10k,10%,0402WGF1002TCE,Yes
SW1,SW_SPST_PTS810,,,PTS810SJM250SMTRLFS,No
F1,F_1206_3216Metric,500mA,,nSMD050-24V,No
"R3,R2",R_0402_1005Metric,22 ohm,10%,0402WGF220JTCE,Yes
U1,SOT-23-6,,,SRV05-4-P-T7,No
U2,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,Atmel-DFU Bootloader,,ATmega32U4-MU,No
