Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5",0402,4,1u,
"C10, C11, C12, C16, C6, C7, C8, C9",0201,8,100n,
C4,0402,1,10u,
"D1, D2, D3",D_SOD-123,3,D_Small,
EZ1,PicoEZMate-Reinforced-Lite,1,78171-0004,
F1,1206,1,500mA,
"J1, J5",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06_Female,
J2,PinHeader_1x22_P2.54mm_Vertical,1,Conn_01x23_Female,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"R1, R2, R3",0402,3,5.1k,
"R4, R5",0402,2,27,
"R6, R8",0402,2,1k,
R7,0402,1,-10k,
"SW7, SW8, SW9",SW_MX_1u,3,MX_SW_solder,
"SWR1, SWR2",SW_Push_SPST_NO_Alps_SKRK,2,SW_SPST,
U1,QFN40P700X700X90-57N,1,RP2040TR7,
U2,SOT-23,1,XC6206PxxxMR,
U3,SOT-23-6-routable,1,SRV05-4,
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
Y2,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,Crystal_GND2_Small,
