Designator,Mid X,Mid Y,Rotation,Layer
C1,114.0125,-77.118198,270.0,bottom
C10,94.4125,-77.9625,180.0,bottom
C11,98.73875,-74.7625,180.0,bottom
C12,106.777865,-81.581741,0.0,bottom
C16,122.233397,-81.493692,90.0,bottom
C2,109.0125,-77.118198,270.0,bottom
C3,101.2125,-74.7625,0.0,bottom
C4,104.0,-76.718198,45.0,bottom
C5,102.6125,-75.40625,45.0,bottom
C7,106.007427,-77.439993,0.0,bottom
C8,94.6125,-84.1625,225.0,bottom
C9,95.4,-84.9625,225.0,bottom
D1,99.21875,-90.4875,180.0,bottom
D2,108.74375,-90.4875,180.0,bottom
D3,127.79375,-90.4875,180.0,bottom
EZ1,118.8125,-76.3625,0.0,bottom
F1,125.8125,-76.5625,180.0,bottom
J1,136.525,-93.6625,180.0,top
J2,82.06875,-96.04375,270.0,bottom
J3,127.79375,-67.3625,0.0,bottom
J5,80.9625,-80.9625,0.0,top
R1,126.0125,-73.125,0.0,bottom
R2,129.38125,-73.125,180.0,bottom
R3,87.67056,-75.888957,90.0,bottom
R4,106.4125,-74.7625,0.0,bottom
R5,107.2125,-75.9625,0.0,bottom
R6,93.0125,-85.9625,45.0,bottom
R7,129.665,-77.761833,0.0,bottom
R8,134.440456,-78.499872,0.0,bottom
SWR1,84.1375,-76.2,0.0,bottom
SWR2,133.35,-76.2,0.0,bottom
U1,100.0125,-80.9625,135.0,bottom
U2,111.493934,-77.118198,0.0,bottom
U3,125.4125,-80.118198,90.0,bottom
U4,118.874126,-85.128552,90.0,bottom
Y2,93.6625,-89.69375,0.0,bottom
